{'source': 'The Sergeant', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 97.42, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Heqet', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Heqet', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Tech', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Sapping Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Elite Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Tech Ranger', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Elite Ranger', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Nullifier Ranger', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Detron Ranger', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Sniper Ranger', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Anti Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Prod Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Nullifier', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Railgun Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Bioengineer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Shield Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Shockwave Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Detron Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Sniper Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Oxium Osprey', 'itemName': 'Oxium', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Fusion Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Cinder Machinist', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 5.03, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Cinder Machinist', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 1.7, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Cinder Machinist', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.27, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Arca Kucumatz', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 5.03, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Arca Kucumatz', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 1.7, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Arca Kucumatz', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.27, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Arca Heqet', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 5.03, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Arca Heqet', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 1.7, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Arca Heqet', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.27, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Phase Moa', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 5.03, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Phase Moa', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 1.7, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Phase Moa', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.27, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Swarm Satyr', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 5.03, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Swarm Satyr', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 1.7, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Swarm Satyr', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.27, 'tablename': 'resourceByAvatar'}
{'source': 'Vapos Aquila', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Ranger Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Optio', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Zerca', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Vambac', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Numon', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Tarask Bursa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Disc Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Elite Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Stropha Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Nullifier Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Nullifier Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Nullifier Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Railgun Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Shield Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Shockwave Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Detron Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Pilot', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Aurax Actinic', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Aurax Vertec', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Tech', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Aurax Culveri Moa', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Aurax Culveri Moa', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Aurax Culveri Moa', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Aurax Polaris Moa', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Aurax Polaris Moa', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Aurax Polaris Moa', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Aurax Baculus', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Engineer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Zerca', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Vambac', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Numon', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Ranger Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Disc Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Elite Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Stropha Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Nullifier Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Shield Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Detron Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Pilot', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Railgun Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Shockwave Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Tech', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Orm Engineer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Taro Secura Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Zerca', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Vambac', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Numon', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Ranger Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Disc Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Elite Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Stropha Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Shield Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Detron Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Pilot', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Railgun Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Shockwave Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Tech', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Axio Engineer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Zerca', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Vambac', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Numon', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Ranger Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Disc Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Elite Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Stropha Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Shield Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Detron Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Pilot', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Railgun Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Shockwave Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Tech', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Vorac Engineer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Gox Scavenger', 'itemName': 'Cubic Diodes', 'rarity': 'Common', 'chance': 28.45, 'tablename': 'resourceByAvatar'}
{'source': 'Gox Scavenger', 'itemName': 'Ticor Plate', 'rarity': 'Common', 'chance': 28.45, 'tablename': 'resourceByAvatar'}
{'source': 'Gox Scavenger', 'itemName': 'Isos', 'rarity': 'Uncommon', 'chance': 16.58, 'tablename': 'resourceByAvatar'}
{'source': 'Gox Scavenger', 'itemName': 'Aucrux Capacitors', 'rarity': 'Rare', 'chance': 1.51, 'tablename': 'resourceByAvatar'}
{'source': 'Dax Herald', 'itemName': 'Lamentus', 'rarity': 'Common', 'chance': 65, 'tablename': 'resourceByAvatar'}
{'source': 'Dax Malleus', 'itemName': 'Lamentus', 'rarity': 'Common', 'chance': 65, 'tablename': 'resourceByAvatar'}
{'source': 'Dax Gladius', 'itemName': 'Lamentus', 'rarity': 'Common', 'chance': 65, 'tablename': 'resourceByAvatar'}
{'source': 'Dax Arcus', 'itemName': 'Lamentus', 'rarity': 'Common', 'chance': 65, 'tablename': 'resourceByAvatar'}
{'source': 'Dax Equitem', 'itemName': 'Lamentus', 'rarity': 'Common', 'chance': 65, 'tablename': 'resourceByAvatar'}
{'source': 'Corrupted Jackal', 'itemName': 'Rune Marrow', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Tamm', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 19.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tamm', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.64, 'tablename': 'resourceByAvatar'}
{'source': 'Common Condroc', 'itemName': 'Condroc Wing', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Emperor Condroc', 'itemName': 'Condroc Wing', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Rogue Condroc', 'itemName': 'Condroc Wing', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Plains Kuaka', 'itemName': 'Kuaka Spinal Claw', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Ghost Kuaka', 'itemName': 'Kuaka Spinal Claw', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Ashen Kuaka', 'itemName': 'Kuaka Spinal Claw', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Charc Electroplax', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Goopolla Spleen', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Murkray Liver', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Sharrac Teeth', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Karkina Antenna', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Azurite', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Devar', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Pyrol', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Coprite Alloy', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Mawfish Bones', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Khut-Khut Venom Sac', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Yogwun Stomach', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Tralok Eyes', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Mortus Horn', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Maprico', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Grokdrul', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Iradite', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Norg Brain', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Cuthol Tendrils', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Nistlepod', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
{'source': 'Tusk Thumper Doma', 'itemName': 'Crimzian', 'rarity': 'Rare', 'chance': 33.36, 'tablename': 'resourceByAvatar'}
