{'itemName': 'Target Acquired', 'enemyName': 'Tusk Thumper Bull', 'enemyModDropChance': 15, 'rarity': 'Uncommon', 'chance': 12.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Frontier Hellion', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Hellion', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Arid Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Frontier Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Drekar Scorpion', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Lancer Survivor', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Narmer Commander', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Narmer Hellion', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Narmer Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Narmer Coildrive', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Kuva Lich Agor Rok (Level 0 - 69)', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Special Duty Coildrive', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Coildrive', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Rogg-417', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Spare Parts', 'enemyName': 'Corrupted Drahk Master', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 11.06, 'tablename': 'modLocations'}
{'itemName': 'Spare Parts', 'enemyName': 'Corrupted Heavy Gunner', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 11.06, 'tablename': 'modLocations'}
{'itemName': 'Spare Parts', 'enemyName': 'Lephantis', 'enemyModDropChance': 100, 'rarity': 'Uncommon', 'chance': 22.11, 'tablename': 'modLocations'}
{'itemName': 'Spare Parts', 'enemyName': 'Corrupted Bombard', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 11.06, 'tablename': 'modLocations'}
{'itemName': 'Spare Parts', 'enemyName': 'Corrupted Nullifier', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 11.06, 'tablename': 'modLocations'}
{'itemName': 'Growing Power', 'enemyName': 'Knave Specter', 'enemyModDropChance': 100, 'rarity': 'Rare', 'chance': 6.06, 'tablename': 'modLocations'}
{'itemName': 'Squad Renew', 'enemyName': 'Elite Taro Harpi', 'enemyModDropChance': 15, 'rarity': 'Legendary', 'chance': 0.84, 'tablename': 'modLocations'}
{'itemName': 'Squad Renew', 'enemyName': 'Elite Axio Harpi', 'enemyModDropChance': 15, 'rarity': 'Rare', 'chance': 1.12, 'tablename': 'modLocations'}
{'itemName': 'Squad Renew', 'enemyName': 'Axio Harpi', 'enemyModDropChance': 15, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Squad Renew', 'enemyName': 'Elite Vorac Harpi', 'enemyModDropChance': 15, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Squad Renew', 'enemyName': 'Vorac Harpi', 'enemyModDropChance': 15, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Squad Renew', 'enemyName': 'Elite Gyre Taktis', 'enemyModDropChance': 15, 'rarity': 'Legendary', 'chance': 0.85, 'tablename': 'modLocations'}
{'itemName': 'Squad Renew', 'enemyName': 'Gyre Taktis', 'enemyModDropChance': 15, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Loyal Companion', 'enemyName': 'Tamm', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Loyal Companion', 'enemyName': 'Corrupted Drahk', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Loyal Companion', 'enemyName': 'Kubrow', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Loyal Companion', 'enemyName': 'Kuva Drahk', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Loyal Companion', 'enemyName': 'Drahk', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Tusk Heavy Gunner', 'enemyModDropChance': 10, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Tusk Bombard', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Tusk Mortar Bombard', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Arcane Boiler', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 15.18, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Kuva Heavy Gunner', 'enemyModDropChance': 10, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Kuva Bombard', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Bombard', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Manic Bombard', 'enemyModDropChance': 40, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Boiler', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 15.18, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Toxic Ancient', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 15.18, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Drekar Manic Bombard', 'enemyModDropChance': 40, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Warm Coat', 'enemyName': 'Narmer Bombard', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Derivator Crewman', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Tusk Elite Lancer', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Dargyn Pilot', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Juno Crewman', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Nox', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 19.36, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Elite Lancer', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Kuva Elite Lancer', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Draga', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Elite Arid Lancer', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Elite Frontier Lancer', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Brood Mother', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Ancient Disruptor', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Tar Mutalist Moa', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Darek Draga', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Scavenger Drone', 'enemyModDropChance': 3, 'rarity': 'Common', 'chance': 38.72, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Shock Draga', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Deimos Therid', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Deimos Brood Mother', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Narmer Scavenger Drone', 'enemyModDropChance': 3, 'rarity': 'Common', 'chance': 38.72, 'tablename': 'modLocations'}
{'itemName': 'Redirection', 'enemyName': 'Narmer Elite Lancer', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Augur Accord', 'enemyName': 'Recon Commander', 'enemyModDropChance': 100, 'rarity': 'Uncommon', 'chance': 11.06, 'tablename': 'modLocations'}
{'itemName': 'Point Blank', 'enemyName': 'Orphid Husks', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 11.06, 'tablename': 'modLocations'}
{'itemName': 'Point Blank', 'enemyName': 'Volatile Runner', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 11.06, 'tablename': 'modLocations'}
{'itemName': 'Point Blank', 'enemyName': 'Deimos Runner', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 11.06, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Tusk Elite Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Dargyn Pilot', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Orphid Specter', 'enemyModDropChance': 100, 'rarity': 'Uncommon', 'chance': 10.53, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Elite Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Kuva Elite Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Draga', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Elite Arid Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Elite Frontier Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Darek Draga', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Shock Draga', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Crossing Snakes', 'enemyName': 'Narmer Elite Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.67, 'tablename': 'modLocations'}
{'itemName': 'Arcane Resistance', 'enemyName': 'Eidolon Teralyst (Special)', 'enemyModDropChance': 100, 'rarity': 'Rare', 'chance': 6.02, 'tablename': 'modLocations'}
{'itemName': 'Arcane Resistance', 'enemyName': 'Eidolon Teralyst', 'enemyModDropChance': 100, 'rarity': 'Rare', 'chance': 6.78, 'tablename': 'modLocations'}
{'itemName': 'Arcane Fury', 'enemyName': 'Eidolon Hydrolyst (Special)', 'enemyModDropChance': 100, 'rarity': 'Uncommon', 'chance': 11.24, 'tablename': 'modLocations'}
{'itemName': 'Arcane Fury', 'enemyName': 'Eidolon Hydrolyst', 'enemyModDropChance': 100, 'rarity': 'Uncommon', 'chance': 13.76, 'tablename': 'modLocations'}
{'itemName': 'Fatal Acceleration', 'enemyName': 'Eidolon Teralyst', 'enemyModDropChance': 100, 'rarity': 'Uncommon', 'chance': 22.22, 'tablename': 'modLocations'}
{'itemName': 'Fatal Acceleration', 'enemyName': 'Leaper', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 11.06, 'tablename': 'modLocations'}
{'itemName': 'Fatal Acceleration', 'enemyName': 'Deimos Leaper', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 11.06, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Vapos Aquila', 'enemyModDropChance': 20, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Tusk Shield Dargyn', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Tusk Dargyn', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Cannon Battery', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.81, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Shield-Hellion Dargyn', 'enemyModDropChance': 20, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Dargyn', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Turret', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.81, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Comet Shard', 'enemyModDropChance': 20, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Exo Eviscerator', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Exo Supressor', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Kosma Eviscerator', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Bleeding Edge', 'enemyName': 'Kosma Supressor', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Hit And Run', 'enemyName': 'Hyena Th', 'enemyModDropChance': 60, 'rarity': 'Uncommon', 'chance': 11.28, 'tablename': 'modLocations'}
